Label,ClassName
1,Car
2,Clutter
3,Car
4,Car
5,Car
6,Car
7,Car
8,Car
9,Clutter
10,Car
11,Clutter
12,Clutter
13,Clutter
14,Clutter
15,Bicycle
16,Clutter
17,Car
18,Clutter
19,Car
20,Clutter
21,Pedestrian
22,Car
23,Clutter
24,Pedestrian
25,Car
26,Pedestrian
27,Clutter
28,Car
29,Car
30,Car
31,Clutter
32,Pedestrian
33,Clutter
34,Clutter
35,Pedestrian
36,Car
37,Clutter
38,Clutter
39,Clutter
40,Clutter
41,Bicycle
42,Clutter
43,Clutter
44,Clutter
45,Bicycle
46,Clutter
47,Bicycle
48,Clutter
49,Bicycle
50,GOP
51,GOP
52,Pedestrian
53,Clutter
54,Clutter
55,Clutter
56,Clutter
57,Car
58,Pedestrian
59,Clutter
60,Pedestrian
61,Car
62,Clutter
63,Clutter
64,Bicycle
65,Car
66,Clutter
67,Clutter
68,Bicycle
69,Clutter
70,Car
71,Car
72,Bicycle
73,Car
74,Clutter
75,Clutter
76,Bicycle
77,Bicycle
78,Clutter
79,Clutter
80,Car
81,Clutter
82,Clutter
83,Clutter
84,GOP
85,Clutter
86,Pedestrian
87,Clutter
88,Car
89,Car
90,Clutter
91,Car
92,Clutter
93,Car
94,Pedestrian
95,Clutter
96,Pedestrian
97,Clutter
98,Clutter
99,Clutter
100,Clutter
101,Clutter
102,Bicycle
103,Clutter
104,Clutter
105,Pedestrian
106,Clutter
107,Clutter
108,Clutter
109,Clutter
110,Clutter
111,Car
112,Clutter
113,Pedestrian
114,Clutter
115,Clutter
116,Car
117,Pedestrian
118,Car
119,Clutter
120,Clutter
121,Car
122,Clutter
123,Clutter
124,Car
125,Clutter
126,Clutter
127,Clutter
128,Pedestrian
129,Clutter
130,Clutter
131,Pedestrian
132,Clutter
133,Clutter
134,GOP
135,Clutter
136,Car
137,Pedestrian
138,Car
139,Car
140,Car
141,Pedestrian
142,Pedestrian
143,Clutter
144,Clutter
145,Clutter
146,Clutter
147,Clutter
148,Car
149,Clutter
150,Pedestrian
151,Clutter
152,Bicycle
153,Car
154,Clutter
155,Car
156,Bicycle
157,Car
158,Clutter
159,Car
160,Car
161,Clutter
162,Clutter
163,Clutter
164,Car
165,Clutter
166,Car
167,Clutter
168,Clutter
169,Clutter
170,Clutter
171,Pedestrian
172,Car
173,Clutter
174,Clutter
175,Clutter
176,Clutter
177,Clutter
178,Clutter
179,Clutter
180,Bicycle
181,Car
182,Bicycle
183,Pedestrian
184,GOP
185,Car
186,Pedestrian
187,Clutter
188,Clutter
189,Clutter
190,Clutter
191,GOP
