Label,ClassName
1,Cars
2,Cars
3,Cars
4,Cars
5,Cars
6,Cars
7,Cars
8,Cars
9,Cars
10,Cars
11,Cars
12,Cars
13,Cars
14,GOP
15,Cars
16,Cars
17,Cars
18,Humans
19,Cars
20,Cars
21,Clutter
22,Bicycle
23,Clutter
24,Clutter
25,Humans
26,Humans
27,GOP
28,Cars
29,Humans
30,Cars
31,Cars
32,Clutter
33,Clutter
34,Humans
35,Cars
36,Cars
37,Humans
38,Cars
39,Cars
40,Cars
41,Cars
42,Cars
43,Humans
44,Cars
45,Cars
46,Cars
47,Cars
48,Cars
49,Cars
50,Cars
51,Cars
52,Cars
53,Cars
54,Humans
55,Humans
56,Humans
57,Humans
58,Humans
59,Humans
60,Humans
61,Humans
62,Humans
63,Cars
64,Cars
65,Clutter
66,Cars
67,GOP
68,GOP
69,GOP
70,GOP
71,Cars
72,Clutter
73,Clutter
74,Clutter
75,Clutter
76,Clutter
77,Clutter
78,Clutter
79,Clutter
80,Clutter
81,GOP
82,Clutter
83,Clutter
84,Clutter
85,GOP
86,Clutter
87,Clutter
88,Clutter
89,GOP
90,Clutter
91,Clutter
92,Clutter
93,GOP
94,Clutter
95,Clutter
96,Clutter
97,Clutter
98,Cars
99,Clutter
100,Clutter
101,Clutter
102,Clutter
103,Clutter
104,Cars
105,Clutter
106,Clutter
107,Clutter
108,Cars
109,Clutter
110,Clutter
111,Clutter
112,Cars
113,Humans
114,Humans
115,Clutter
116,Clutter
117,Humans
118,Humans
119,Humans
120,Humans
121,Humans
122,Clutter
123,Humans
124,Cars
125,Cars
126,Humans
127,Humans
128,Humans
129,Humans
130,Cars
131,Clutter
132,GOP
133,Cars
134,GOP
135,Cars
136,Humans
137,Clutter
138,GOP
139,GOP
140,Humans
141,Humans
142,Humans
143,Cars
144,Humans
145,Humans
146,Cars
147,Clutter
148,Cars
149,Cars
150,Cars
151,Humans
152,Bicycle
153,Clutter
154,Clutter
155,Cars
156,Clutter
157,Humans
158,Humans
159,GOP
160,GOP
161,Humans
162,GOP
163,GOP
164,GOP
165,GOP
166,Cars
167,Humans
168,GOP
169,GOP
170,Clutter
171,GOP
172,Humans
173,Humans
174,Humans
175,Humans
176,Humans
177,GOP
178,Humans
179,Cars
180,Cars
181,GOP
182,Cars
183,Humans
184,Humans
185,Cars
186,Cars
187,Humans
188,Humans
189,Humans
190,Humans
191,Humans
192,Humans
193,Humans
194,Cars
195,Cars
196,Clutter
197,Humans
198,Humans
199,Cars
200,Humans
201,Humans
202,Cars
203,Cars
204,Humans
205,Humans
206,Humans
207,Cars
208,Humans
209,GOP
210,Humans
211,Humans
212,Humans
213,GOP
214,Humans
215,Humans
216,Humans
217,Cars
218,Clutter
219,Humans
220,Humans
221,Humans
222,Humans
223,Cars
224,Humans
225,Cars
226,Bicycle
227,Cars
228,Cars
229,Humans
230,Humans
231,GOP
232,Humans
233,GOP
234,Clutter
235,GOP
236,GOP
237,Humans
238,Humans
239,Humans
240,Clutter
241,Clutter
242,Clutter
243,Cars
244,Clutter
245,Humans
246,GOP
247,Humans
248,Clutter
249,Clutter
250,Humans
251,Humans
252,Cars
253,Cars
254,Humans
255,Humans
256,GOP
257,GOP
258,GOP
259,Humans
260,Humans
261,Bicycle
262,Bicycle
263,Clutter
264,Humans
265,Clutter
266,Humans
267,GOP
268,GOP
269,Humans
270,Cars
271,Clutter
272,Cars
273,Humans
274,Humans
275,Humans
276,GOP
277,Humans
278,Humans
279,Cars
280,Humans
281,Cars
282,Humans
283,Humans
284,GOP
285,Cars
286,Humans
287,GOP
288,Clutter
289,Cars
290,Clutter
291,Clutter
292,Cars
293,Humans
294,Humans
295,GOP
296,Humans
297,Humans
298,Bicycle
299,Cars
300,Cars
301,Cars
302,Humans
303,Humans
304,Cars
305,Cars
306,Cars
307,Humans
308,Humans
309,Humans
310,Clutter
311,GOP
312,GOP
313,Humans
314,Cars
315,GOP
316,GOP
317,Humans
318,Clutter
319,Clutter
320,Cars
321,Clutter
322,Cars
323,GOP
324,Clutter
325,Clutter
326,Humans
327,Humans
328,GOP
329,Humans
330,Cars
331,Cars
332,Cars
333,Cars
334,GOP
335,Cars
336,GOP
337,Humans
338,Cars
339,Cars
340,GOP
341,GOP
342,Cars
343,Bicycle
