Label,ClassName
1,Cars
2,Cars
3,Cars
4,Cars
5,Cars
6,Cars
7,Cars
8,Cars
9,Cars
10,Cars
11,Cars
12,Cars
13,Cars
14,Cars
15,Cars
16,Cars
17,Cars
18,Humans
19,Cars
20,Cars
21,Clutter
22,Clutter
23,Bicycle
24,Clutter
25,Clutter
26,Humans
27,GOP
28,Cars
29,Humans
30,Clutter
31,Cars
32,Clutter
33,Clutter
34,Humans
35,Cars
36,Cars
37,Humans
38,Cars
39,Cars
40,Cars
41,Cars
42,GOP
43,Humans
44,Cars
45,Cars
46,Cars
47,Cars
48,Cars
49,Cars
50,Cars
51,Cars
52,Cars
53,Cars
54,Humans
55,Humans
56,Humans
57,Humans
58,Humans
59,Bicycle
60,GOP
61,Humans
62,Humans
63,Cars
64,Cars
65,Cars
66,Clutter
67,GOP
68,GOP
69,GOP
70,GOP
71,Clutter
72,Cars
73,Clutter
74,Clutter
75,Clutter
76,Clutter
77,Clutter
78,Clutter
79,Clutter
80,Cars
81,GOP
82,Clutter
83,Clutter
84,Cars
85,GOP
86,Clutter
87,Clutter
88,Cars
89,Bicycle
90,Clutter
91,Clutter
92,Cars
93,Bicycle
94,Clutter
95,Clutter
96,Cars
97,Humans
98,Cars
99,Humans
100,Clutter
101,Cars
102,Clutter
103,Cars
104,Cars
105,Bicycle
106,Clutter
107,Clutter
108,Cars
109,Clutter
110,Cars
111,Clutter
112,Cars
113,Clutter
114,GOP
115,Cars
116,Clutter
117,Humans
118,Humans
119,Humans
120,Humans
121,Humans
122,Clutter
123,Humans
124,Cars
125,Cars
126,Humans
127,Humans
128,Humans
129,Humans
130,Cars
131,Cars
132,Bicycle
133,Clutter
134,Bicycle
135,Cars
136,Humans
137,Cars
138,GOP
139,Bicycle
140,Clutter
141,Humans
142,Humans
143,Cars
144,Humans
145,Humans
146,Cars
147,Clutter
148,Cars
149,Cars
150,Cars
151,Humans
152,Bicycle
153,Clutter
154,Clutter
155,Cars
156,Clutter
157,Humans
158,Humans
159,GOP
160,GOP
161,Clutter
162,Bicycle
163,Humans
164,GOP
165,Clutter
166,Cars
167,Humans
168,GOP
169,GOP
170,Clutter
171,Clutter
172,Humans
173,Humans
174,Clutter
175,Bicycle
176,Bicycle
177,GOP
178,Humans
179,Cars
180,Cars
181,Humans
182,Cars
183,Humans
184,Humans
185,Cars
186,Cars
187,Humans
188,Humans
189,Bicycle
190,Clutter
191,Humans
192,Bicycle
193,Humans
194,Cars
195,Cars
196,Clutter
197,Bicycle
198,Humans
199,Cars
200,Humans
201,Humans
202,Cars
203,Cars
204,Humans
205,Clutter
206,Humans
207,Cars
208,Humans
209,Bicycle
210,Cars
211,Humans
212,Bicycle
213,GOP
214,Clutter
215,Clutter
216,Humans
217,Cars
218,Clutter
219,Humans
220,Clutter
221,Humans
222,Humans
223,Cars
224,Clutter
225,Cars
226,Bicycle
227,GOP
228,Cars
229,Bicycle
230,Humans
231,GOP
232,Humans
233,GOP
234,Clutter
235,GOP
236,GOP
237,Humans
238,Humans
239,Clutter
240,Clutter
241,Clutter
242,Clutter
243,Clutter
244,Cars
245,Humans
246,Humans
247,GOP
248,Clutter
249,Clutter
250,Humans
251,Humans
252,Cars
253,Cars
254,GOP
255,Humans
256,Humans
257,Humans
258,Humans
259,Humans
260,Humans
261,Humans
262,Clutter
263,Clutter
264,Humans
265,Clutter
266,Clutter
267,Bicycle
268,GOP
269,Humans
270,Cars
271,Clutter
272,Cars
273,Humans
274,Humans
275,Humans
276,Humans
277,Humans
278,Humans
279,Cars
280,Humans
281,Cars
282,Humans
283,Humans
284,GOP
285,Cars
286,Humans
287,GOP
288,Clutter
289,Cars
290,Clutter
291,Clutter
292,Clutter
293,Humans
294,Humans
295,GOP
296,Humans
297,Bicycle
298,Clutter
299,Cars
300,Cars
301,GOP
302,Humans
303,Clutter
304,Cars
305,Cars
306,Cars
307,Bicycle
308,Humans
309,Humans
310,Clutter
311,GOP
312,Bicycle
313,Clutter
314,Cars
315,GOP
316,Humans
317,Humans
318,Cars
319,Clutter
320,Cars
321,Clutter
322,Clutter
323,GOP
324,Clutter
325,Clutter
326,Humans
327,Humans
328,GOP
329,Clutter
330,Cars
331,Cars
332,Cars
333,Cars
334,GOP
335,Cars
336,Bicycle
337,Humans
338,Clutter
339,Cars
340,Clutter
341,GOP
342,GOP
343,Clutter
