Label,ClassName
1,Cars
2,Cars
3,Cars
4,Humans
5,Humans
6,GOP
7,Humans
8,Clutter
9,Humans
10,GOP
11,Cars
12,Bicycle
13,Cars
14,Cars
15,Cars
16,Clutter
17,GOP
18,Humans
19,Humans
20,Humans
21,Humans
22,Humans
23,Humans
24,Cars
25,Humans
26,Humans
27,GOP
28,Cars
29,Cars
30,Cars
31,Cars
32,Cars
33,Cars
34,Cars
35,Humans
36,Cars
37,Clutter
38,Humans
39,Clutter
40,Cars
41,Humans
42,Cars
43,Clutter
44,Cars
45,Humans
46,Cars
47,Humans
48,Cars
49,Humans
50,Cars
51,Cars
52,Cars
53,Cars
54,Cars
55,Humans
56,Humans
57,Cars
58,Humans
59,Cars
60,Cars
61,Cars
62,Clutter
63,Humans
64,Cars
65,Cars
66,Cars
67,Cars
68,Clutter
69,GOP
70,Cars
71,Cars
72,Cars
73,Cars
74,Cars
75,Cars
76,Clutter
77,Clutter
78,Humans
79,Cars
80,Cars
81,Clutter
82,Clutter
83,Humans
84,Clutter
85,Humans
86,Cars
87,Humans
88,Cars
89,Humans
90,Humans
91,Humans
92,Humans
93,Cars
94,Cars
95,GOP
96,GOP
97,GOP
98,Cars
99,Humans
100,Cars
101,Cars
102,Humans
103,GOP
104,GOP
105,Cars
106,GOP
107,Humans
108,Cars
109,Humans
110,Cars
111,Humans
112,GOP
113,Humans
114,Clutter
115,Cars
116,Clutter
117,Cars
118,Cars
119,Cars
120,Cars
121,Cars
122,Cars
123,Humans
124,Cars
125,Humans
126,Cars
127,Humans
128,Humans
129,Humans
130,Clutter
131,Cars
132,Cars
133,Cars
134,Humans
135,Humans
136,Humans
137,GOP
138,Humans
139,GOP
140,Humans
141,Bicycle
142,Bicycle
143,GOP
144,GOP
145,Humans
146,GOP
147,Bicycle
148,Humans
149,GOP
150,Humans
151,GOP
152,GOP
153,GOP
154,GOP
155,GOP
156,GOP
157,GOP
158,Humans
159,GOP
160,Humans
161,Cars
162,Clutter
163,Cars
164,GOP
165,Humans
166,Humans
167,Humans
168,Humans
169,Cars
170,Humans
171,Cars
172,Cars
173,Clutter
174,Humans
175,Humans
176,Cars
177,Humans
178,GOP
179,GOP
180,Humans
181,Humans
182,Humans
183,Humans
184,Humans
185,Humans
186,GOP
187,Humans
188,Humans
189,Humans
190,Humans
191,Humans
192,Humans
193,Cars
194,Cars
195,Cars
196,Cars
197,Humans
198,Cars
199,Humans
200,Cars
201,Humans
202,Humans
203,Humans
204,Humans
205,Humans
206,Humans
207,GOP
208,GOP
209,Cars
210,Cars
211,Clutter
212,Clutter
213,Clutter
214,Clutter
215,Clutter
216,GOP
217,GOP
218,GOP
219,Bicycle
220,Clutter
221,GOP
222,GOP
223,Humans
224,Humans
225,Humans
226,Humans
227,Humans
228,Clutter
229,GOP
230,Humans
231,Humans
232,Cars
233,GOP
234,Humans
235,GOP
236,GOP
237,GOP
238,GOP
239,Humans
240,GOP
241,Humans
242,Cars
243,GOP
244,GOP
245,Humans
246,Humans
247,Clutter
248,Clutter
249,Humans
250,Clutter
251,Bicycle
252,Clutter
253,Humans
254,Cars
255,Cars
256,Clutter
257,GOP
258,GOP
259,Cars
260,Humans
261,Clutter
262,Cars
263,Clutter
264,Cars
265,Cars
266,Cars
267,Cars
268,GOP
269,Humans
270,Cars
271,Humans
272,Clutter
273,Clutter
274,Cars
275,Clutter
276,Cars
277,Clutter
278,Clutter
279,Clutter
280,Humans
281,Humans
282,Humans
283,Humans
284,Cars
285,Cars
286,Humans
287,Cars
288,Humans
289,Cars
290,Cars
291,Cars
292,GOP
293,Humans
294,Cars
295,Cars
296,Cars
297,Cars
298,Cars
299,Cars
300,Clutter
301,Bicycle
302,GOP
303,Humans
304,Humans
305,Humans
306,Cars
307,Humans
308,Cars
309,Cars
310,Clutter
311,Clutter
312,Clutter
313,Cars
314,Cars
315,Bicycle
316,Cars
317,Bicycle
318,Bicycle
319,Bicycle
320,Cars
321,Cars
322,GOP
323,Clutter
324,Clutter
325,Humans
326,Humans
327,Clutter
328,Humans
329,Humans
330,Humans
331,GOP
332,GOP
333,Clutter
334,Humans
335,Humans
336,Cars
337,Cars
338,Clutter
339,Clutter
340,Clutter
341,Cars
342,Cars
343,Humans
344,Clutter
345,Humans
346,Clutter
347,Clutter
348,GOP
349,Humans
350,Humans
351,Bicycle
352,GOP
353,GOP
354,Humans
355,Cars
356,Humans
357,Humans
358,Humans
359,Cars
360,Cars
361,GOP
362,Bicycle
363,GOP
364,GOP
365,Cars
366,GOP
367,Cars
368,Cars
369,Cars
370,GOP
371,GOP
372,Humans
373,GOP
374,Humans
375,GOP
376,Humans
377,Humans
378,GOP
379,GOP
380,GOP
381,Bicycle
382,Bicycle
383,Humans
